      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.019300       0.019300        12      11.0      12.0       0.238487     327.109985      58.630001      63.509998      86.949997      -3.400000    -153.470001
    -60.00    -15.00      25.481911       0.022595       0.022595        12      11.0      12.0       0.238487     136.960007     239.460007      73.680000      53.509998     -38.290001    -159.539993
    -60.00    -10.00      20.987940       0.026122       0.026122        12      11.0      12.0       0.238487     126.559998     248.559998      76.750000      23.950001     -69.860001    -145.639999
    -60.00     -5.00      16.493971       0.022539       0.022539        12      11.0      12.0       0.238487      87.540001     290.910004      81.529999       9.220000     -93.639999     -66.900002
    -60.00      0.00      12.000000       0.028418       0.028418        12      11.0      12.0       0.238487      43.939999     159.940002      84.000000      13.480000     -77.910004    -153.360001
    -60.00      5.00       7.506030       0.039044       0.039044        12      11.0      12.0       0.238487      48.189999     156.369995      85.489998      14.180000     -76.540001    -161.289993
    -60.00     10.00       3.012060       0.052307       0.052307        12      11.0      12.0       0.238487      44.959999     211.350006      81.580002       8.660000     -87.970001    -103.459999
    -50.00    -20.00      29.975880       0.012894       0.012894        12      11.0      12.0       0.238487     161.580002     260.079987      76.470001      58.419998     -32.590000    -164.059998
    -50.00    -15.00      25.481911       0.010993       0.010993        12      11.0      12.0       0.238487     350.779999     257.450012      85.360001      54.439999      35.700001     174.289993
    -50.00    -10.00      20.987940       0.027718       0.027718        12      11.0      12.0       0.238487      38.049999     297.170013      33.700001      82.830002      13.000000     123.019997
    -50.00     -5.00      16.493971       0.038290       0.038290        12      11.0      12.0       0.238487     135.759995     234.630005      38.459999      83.019997     168.720001      52.090000
    -50.00      0.00      12.000000       0.048525       0.048525        12      11.0      12.0       0.238487     139.509995      45.220001      35.450001      86.949997    -174.740005     -54.669998
    -50.00      5.00       7.506030       0.059642       0.059642        12      11.0      12.0       0.238487     141.929993      44.369999      30.230000      85.620003    -171.270004     -60.060001
    -50.00     10.00       3.012060       0.066841       0.066841        12      11.0      12.0       0.238487     145.779999      44.500000      23.559999      85.120003    -167.720001     -66.919998
    -40.00    -20.00      29.975880       0.015033       0.015033        12      11.0      12.0       0.238487     292.369995      30.139999      79.269997      54.480000     143.750000      13.220000
    -40.00    -15.00      25.481911       0.027627       0.027627        12      11.0      12.0       0.238487     295.279999      40.340000      74.820000      46.230000     134.210007      21.260000
    -40.00    -10.00      20.987940       0.051107       0.051107        12      11.0      12.0       0.238487     121.419998     242.860001      40.040001      66.330002     141.389999      56.709999
    -40.00     -5.00      16.493971       0.067991       0.067991        12      11.0      12.0       0.238487     129.119995     235.470001      48.560001      72.309998     156.089996      44.000000
    -40.00      0.00      12.000000       0.071547       0.071547        12      11.0      12.0       0.238487     132.639999     230.050003      50.509998      81.099998     168.429993      40.070000
    -40.00      5.00       7.506030       0.079415       0.079415        12      11.0      12.0       0.238487     131.830002     228.470001      47.580002      82.779999     170.210007      42.830002
    -40.00     10.00       3.012060       0.075874       0.075874        12      11.0      12.0       0.238487     131.289993     225.759995      46.669998      85.279999     173.500000      43.520000
    -30.00    -20.00      29.975880       0.018678       0.018678        12      11.0      12.0       0.238487     120.199997     244.460007      29.530001      72.309998     141.949997      65.959999
    -30.00    -15.00      25.481911       0.050543       0.050543        12      11.0      12.0       0.238487     112.180000     252.910004      31.280001      64.809998     124.940002      70.809998
    -30.00    -10.00      20.987940       0.078585       0.078585        12      11.0      12.0       0.238487     124.720001     241.880005      43.020000      66.930000     144.940002      52.619999
    -30.00     -5.00      16.493971       0.088204       0.088204        12      11.0      12.0       0.238487     128.529999     237.119995      50.750000      68.690002     152.009995      42.779999
    -30.00      0.00      12.000000       0.088653       0.088653        12      11.0      12.0       0.238487     130.600006     233.520004      54.480000      72.620003     158.470001      37.509998
    -30.00      5.00       7.506030       0.086791       0.086791        12      11.0      12.0       0.238487     130.660004     230.720001      57.189999      74.830002     161.869995      34.150002
    -30.00     10.00       3.012060       0.079902       0.079902        12      11.0      12.0       0.238487     129.979996     228.649994      58.619999      76.120003     163.679993      32.439999
    -20.00    -20.00      29.975880       0.031761       0.031761        12      11.0      12.0       0.238487     123.919998     240.550003      34.360001      72.959999     148.720001      59.709999
    -20.00    -15.00      25.481911       0.072590       0.072590        12      11.0      12.0       0.238487     126.290001     242.949997      36.169998      71.839996     148.119995      58.169998
    -20.00    -10.00      20.987940       0.087043       0.087043        12      11.0      12.0       0.238487     127.320000     243.850006      40.580002      69.070000     146.690002      54.410000
    -20.00     -5.00      16.493971       0.089072       0.089072        12      11.0      12.0       0.238487     129.160004     240.000000      49.160000      67.629997     149.789993      45.009998
