      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.039163       0.039163        16      15.0      16.0       0.238487     138.710007     255.119995      18.430000      81.570000     152.369995      73.550003
    -60.00    -15.00      25.481911       0.046615       0.046615        16      15.0      16.0       0.238487     147.729996     259.500000      21.480000      81.690002     156.759995      70.120003
    -60.00    -10.00      20.987940       0.043597       0.043597        16      15.0      16.0       0.238487     161.580002      67.669998      27.209999      88.000000    -175.610001     -62.860001
    -60.00     -5.00      16.493971       0.039327       0.039327        16      15.0      16.0       0.238487     182.970001      59.130001      22.459999      77.040001    -144.039993     -71.500000
    -60.00      0.00      12.000000       0.033938       0.033938        16      15.0      16.0       0.238487     182.610001      33.139999      24.309999      68.739998    -118.250000     -77.930000
    -60.00      5.00       7.506030       0.033496       0.033496        16      15.0      16.0       0.238487     220.039993      38.430000      22.459999      67.550003     -88.510002     -90.620003
    -60.00     10.00       3.012060       0.033415       0.033415        16      15.0      16.0       0.238487      41.490002     206.429993      72.139999      18.450001     -85.279999    -104.309998
    -50.00    -20.00      29.975880       0.044668       0.044668        16      15.0      16.0       0.238487     178.690002      65.650002      10.500000      85.849998    -156.610001     -80.349998
    -50.00    -15.00      25.481911       0.059701       0.059701        16      15.0      16.0       0.238487      67.699997     176.800003      84.919998      15.210000     -75.650002    -160.259995
    -50.00    -10.00      20.987940       0.054816       0.054816        16      15.0      16.0       0.238487      63.360001     178.050003      81.080002      20.590000     -71.360001    -153.850006
    -50.00     -5.00      16.493971       0.046401       0.046401        16      15.0      16.0       0.238487     173.139999      53.560001      25.480000      76.760002    -147.839996     -68.029999
    -50.00      0.00      12.000000       0.039825       0.039825        16      15.0      16.0       0.238487     147.570007      12.010000      45.480000      54.020000    -124.510002     -60.049999
    -50.00      5.00       7.506030       0.048336       0.048336        16      15.0      16.0       0.238487      60.119999     245.639999      69.559998      20.520000     -91.930000     -84.830002
    -50.00     10.00       3.012060       0.047745       0.047745        16      15.0      16.0       0.238487      41.310001     176.149994      73.129997      23.270000     -73.730003    -132.729996
    -40.00    -20.00      29.975880       0.040610       0.040610        16      15.0      16.0       0.238487      83.290001     235.550003      79.099998      12.270000     -84.320000    -117.199997
    -40.00    -15.00      25.481911       0.050789       0.050789        16      15.0      16.0       0.238487     221.770004      71.739998      11.930000      79.629997    -119.430000     -84.070000
    -40.00    -10.00      20.987940       0.044453       0.044453        16      15.0      16.0       0.238487      61.779999     199.630005      76.820000      17.530001     -78.339996    -130.800003
    -40.00     -5.00      16.493971       0.037368       0.037368        16      15.0      16.0       0.238487     170.410004      40.080002      33.290001      66.980003    -134.559998     -65.260002
    -40.00      0.00      12.000000       0.033862       0.033862        16      15.0      16.0       0.238487     147.660004       0.350000      47.439999      47.490002    -113.459999     -66.559998
    -40.00      5.00       7.506030       0.040169       0.040169        16      15.0      16.0       0.238487     134.139999     356.429993      54.810001      43.619999    -117.660004     -56.639999
    -40.00     10.00       3.012060       0.037574       0.037574        16      15.0      16.0       0.238487     142.830002      17.240000      51.139999      54.160000    -131.240005     -50.709999
    -30.00    -20.00      29.975880       0.022709       0.022709        16      15.0      16.0       0.238487     118.349998     304.670013      83.120003       6.920000     -90.760002     -83.720001
    -30.00    -15.00      25.481911       0.027979       0.027979        16      15.0      16.0       0.238487     123.110001       9.510000      81.440002      20.620001    -108.820000     -25.020000
    -30.00    -10.00      20.987940       0.024214       0.024214        16      15.0      16.0       0.238487     130.270004      21.690001      74.449997      41.130001    -128.570007     -24.059999
    -30.00     -5.00      16.493971       0.023655       0.023655        16      15.0      16.0       0.238487     139.389999      19.760000      57.750000      51.910000    -133.169998     -42.680000
    -30.00      0.00      12.000000       0.024406       0.024406        16      15.0      16.0       0.238487     149.740005      11.390000      45.799999      52.459999    -121.800003     -61.549999
    -30.00      5.00       7.506030       0.029276       0.029276        16      15.0      16.0       0.238487     148.220001      18.260000      53.570000      48.970001    -125.330002     -51.919998
    -30.00     10.00       3.012060       0.032017       0.032017        16      15.0      16.0       0.238487     140.289993      21.459999      60.540001      49.509998    -131.779999     -40.290001
    -20.00    -20.00      29.975880       0.016691       0.016691        16      15.0      16.0       0.238487      38.490002     286.559998      76.349998      33.029999      59.619999     154.350006
    -20.00    -15.00      25.481911       0.027805       0.027805        16      15.0      16.0       0.238487      46.820000     295.779999      62.430000      55.490002      39.730000     145.820007
    -20.00    -10.00      20.987940       0.034828       0.034828        16      15.0      16.0       0.238487      51.730000     296.470001      51.240002      62.009998      37.000000     134.850006
    -20.00     -5.00      16.493971       0.024561       0.024561        16      15.0      16.0       0.238487     115.309998     248.600006      36.830002      62.820000     130.360001      64.129997
    -20.00      0.00      12.000000       0.022148       0.022148        16      15.0      16.0       0.238487     122.050003     260.269989       4.190000      86.870003     131.710007      87.209999
    -20.00      5.00       7.506030       0.030854       0.030854        16      15.0      16.0       0.238487     158.350006      64.019997      15.920000      88.769997    -175.490005     -74.129997
    -20.00     10.00       3.012060       0.031552       0.031552        16      15.0      16.0       0.238487     153.639999      62.990002      22.480000      89.730003    -179.300003     -67.519997
    -10.00    -20.00      29.975880       0.006556       0.006556        16      15.0      16.0       0.238487     183.179993      85.550003       8.260000      88.900002       7.710000      98.180000
    -10.00    -15.00      25.481911       0.007838       0.007838        16      15.0      16.0       0.238487     129.550003      35.880001      87.309998      36.250000    -126.169998      -4.550000
    -10.00    -10.00      20.987940       0.006873       0.006873        16      15.0      16.0       0.238487      50.830002     301.760010      40.490002      74.410004      24.450001     127.849998
    -10.00     -5.00      16.493971       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      0.00      12.000000       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      5.00       7.506030       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00     10.00       3.012060       0.007020       0.007020        16      15.0      16.0       0.238487      91.660004     276.329987      58.209999      31.870001     -92.459999     -86.029999
      0.00    -20.00      29.975880       0.013477       0.013477        16      15.0      16.0       0.238487     112.150002     265.630005      10.870000      80.250000     -63.889999     -94.830002
      0.00    -15.00      25.481911       0.010854       0.010854        16      15.0      16.0       0.238487     127.750000     273.149994      22.430000      71.230003     -57.470001    -102.519997
      0.00    -10.00      20.987940       0.002756       0.002756        16      15.0      16.0       0.238487     111.449997     220.529999      63.270000      57.000000     142.419998      32.430000
      0.00     -5.00      16.493971       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00      0.00      12.000000       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00      5.00       7.506030       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
      0.00     10.00       3.012060       0.002720       0.002720        16      15.0      16.0       0.238487     160.509995     293.600006      75.029999      21.379999     105.440002      45.119999
     10.00    -20.00      29.975880       0.026880       0.026880        16      15.0      16.0       0.238487      57.820000     284.670013      28.240000      69.830002    -133.220001     -69.809998
     10.00    -15.00      25.481911       0.036216       0.036216        16      15.0      16.0       0.238487      59.720001     295.760010      46.299999      59.689999    -135.729996     -53.160000
     10.00    -10.00      20.987940       0.001732       0.001732        16      15.0      16.0       0.238487      91.989998     350.209991      43.830002      78.910004    -163.869995     -47.320000
     10.00     -5.00      16.493971       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
     10.00      0.00      12.000000       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
     10.00      5.00       7.506030       0.000000       0.000000        16      15.0      16.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
     10.00     10.00       3.012060       0.008288       0.008288        16      15.0      16.0       0.238487      55.119999     258.670013      74.699997      16.610001      83.440002     112.660004
     20.00    -20.00      29.975880       0.032151       0.032151        16      15.0      16.0       0.238487      66.760002     264.179993      24.549999      66.449997    -105.930000     -82.860001
     20.00    -15.00      25.481911       0.037131       0.037131        16      15.0      16.0       0.238487      50.590000     269.609985      33.689999      62.619999    -123.989998     -69.559998
     20.00    -10.00      20.987940       0.022545       0.022545        16      15.0      16.0       0.238487      19.320000     254.809998      45.700001      59.860001    -135.449997     -53.860001
     20.00     -5.00      16.493971       0.019052       0.019052        16      15.0      16.0       0.238487     333.119995      63.720001      78.809998      86.980003     176.919998      11.210000
     20.00      0.00      12.000000       0.024035       0.024035        16      15.0      16.0       0.238487     158.610001      57.810001      79.040001      45.959999    -134.919998     -15.340000
     20.00      5.00       7.506030       0.036843       0.036843        16      15.0      16.0       0.238487     322.540009      57.720001      86.209999      36.279999     126.110001       6.420000
     20.00     10.00       3.012060       0.054216       0.054216        16      15.0      16.0       0.238487      64.379997     312.250000      57.509998      59.389999      37.130001     141.389999
     30.00    -20.00      29.975880       0.033173       0.033173        16      15.0      16.0       0.238487      91.959999     238.710007      26.030001      67.779999     -59.490002    -103.930000
     30.00    -15.00      25.481911       0.049289       0.049289        16      15.0      16.0       0.238487      60.730000     231.589996      18.799999      71.419998     -81.339996     -92.930000
     30.00    -10.00      20.987940       0.049437       0.049437        16      15.0      16.0       0.238487     240.490005       4.080000      72.750000      29.309999     -65.940002    -142.699997
     30.00     -5.00      16.493971       0.053126       0.053126        16      15.0      16.0       0.238487     342.859985     239.990005      52.430000      73.839996    -159.449997     -39.410000
     30.00      0.00      12.000000       0.050035       0.050035        16      15.0      16.0       0.238487     237.660004     348.380005      65.589996      52.060001     -42.470001    -148.399994
     30.00      5.00       7.506030       0.048658       0.048658        16      15.0      16.0       0.238487     332.339996     236.990005      61.610001      80.209999    -168.860001     -28.850000
     30.00     10.00       3.012060       0.063388       0.063388        16      15.0      16.0       0.238487     326.390015     235.259995      53.610001      88.459999    -178.089996     -36.410000
     40.00    -20.00      29.975880       0.024259       0.024259        16      15.0      16.0       0.238487      14.540000     210.800003      17.430000      73.220001    -105.550003     -85.190002
     40.00    -15.00      25.481911       0.038184       0.038184        16      15.0      16.0       0.238487     215.559998     347.700012      73.059998      24.420000     -72.139999    -135.190002
