      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.015189       0.015189        11      10.0      11.0       0.238487      54.610001     313.579987      85.089996      24.180000    -113.709999     -12.060000
    -60.00    -15.00      25.481911       0.006413       0.006413        11      10.0      11.0       0.238487     165.630005     257.109985      87.430000      59.919998     -30.120001    -177.039993
    -60.00    -10.00      20.987940       0.019466       0.019466        11      10.0      11.0       0.238487      24.209999     278.149994      85.849998      14.710000      75.879997     163.419998
    -60.00     -5.00      16.493971       0.012488       0.012488        11      10.0      11.0       0.238487     123.690002     291.489990      66.849998      23.620001     -85.139999    -101.209999
    -60.00      0.00      12.000000       0.020459       0.020459        11      10.0      11.0       0.238487      84.570000     260.279999      83.720001       6.290000     -89.529999     -94.269997
    -60.00      5.00       7.506030       0.031915       0.031915        11      10.0      11.0       0.238487      37.590000     234.800003      78.769997      11.740000     -93.449997     -73.129997
    -60.00     10.00       3.012060       0.030928       0.030928        11      10.0      11.0       0.238487      41.939999     257.149994      78.730003      13.700000     -97.849998     -55.560001
    -50.00    -20.00      29.975880       0.024722       0.024722        11      10.0      11.0       0.238487     105.339996     244.100006      64.070000      32.889999     110.980003      53.639999
    -50.00    -15.00      25.481911       0.035308       0.035308        11      10.0      11.0       0.238487      78.250000     261.390015      55.580002      34.459999      88.220001      92.589996
    -50.00    -10.00      20.987940       0.036176       0.036176        11      10.0      11.0       0.238487      50.980000     288.290009      53.930000      53.439999      47.470001     132.860001
    -50.00     -5.00      16.493971       0.033187       0.033187        11      10.0      11.0       0.238487     124.669998      32.790001      86.720001      60.150002    -150.100006      -3.790000
    -50.00      0.00      12.000000       0.043706       0.043706        11      10.0      11.0       0.238487     134.770004      35.630001      59.779999      74.750000    -162.279999     -31.450001
    -50.00      5.00       7.506030       0.050359       0.050359        11      10.0      11.0       0.238487     140.250000      40.360001      38.200001      82.300003    -167.490005     -52.470001
    -50.00     10.00       3.012060       0.043872       0.043872        11      10.0      11.0       0.238487     142.460007      40.150002      39.500000      80.029999    -164.210007     -51.580002
    -40.00    -20.00      29.975880       0.032084       0.032084        11      10.0      11.0       0.238487     103.279999     236.580002      60.110001      39.970001     117.879997      50.880001
    -40.00    -15.00      25.481911       0.059663       0.059663        11      10.0      11.0       0.238487      99.739998     247.210007      52.990002      41.799999     111.000000      64.570000
    -40.00    -10.00      20.987940       0.070520       0.070520        11      10.0      11.0       0.238487     103.800003     249.350006      44.619999      50.860001     116.019997      66.589996
    -40.00     -5.00      16.493971       0.074907       0.074907        11      10.0      11.0       0.238487     128.479996     228.139999      58.500000      74.690002     161.960007      32.799999
    -40.00      0.00      12.000000       0.078590       0.078590        11      10.0      11.0       0.238487     131.169998     225.809998      59.430000      82.199997     170.940002      30.889999
    -40.00      5.00       7.506030       0.071545       0.071545        11      10.0      11.0       0.238487     133.089996      41.529999      64.430000      86.750000    -176.399994     -25.610001
    -40.00     10.00       3.012060       0.068033       0.068033        11      10.0      11.0       0.238487     134.449997      40.130001      69.779999      78.440002    -167.669998     -20.660000
    -30.00    -20.00      29.975880       0.027290       0.027290        11      10.0      11.0       0.238487      81.610001     274.100006      58.220001      32.389999      83.349998     100.589996
    -30.00    -15.00      25.481911       0.059197       0.059197        11      10.0      11.0       0.238487     120.260002     235.869995      57.130001      56.220001     138.550003      40.770000
    -30.00    -10.00      20.987940       0.091087       0.091087        11      10.0      11.0       0.238487     121.860001     237.419998      52.750000      60.430000     141.690002      44.099998
    -30.00     -5.00      16.493971       0.103106       0.103106        11      10.0      11.0       0.238487     124.639999     236.350006      52.470001      64.279999     146.820007      42.540001
    -30.00      0.00      12.000000       0.095076       0.095076        11      10.0      11.0       0.238487     129.970001     231.050003      58.529999      72.570000     159.440002      33.169998
    -30.00      5.00       7.506030       0.084255       0.084255        11      10.0      11.0       0.238487     133.320007     226.679993      66.599998      82.290001     171.589996      23.629999
    -30.00     10.00       3.012060       0.083366       0.083366        11      10.0      11.0       0.238487     135.339996      45.250000      70.160004      89.739998    -179.720001     -19.840000
    -20.00    -20.00      29.975880       0.023978       0.023978        11      10.0      11.0       0.238487     132.639999     237.869995      72.349998      50.459999     138.080002      23.150000
    -20.00    -15.00      25.481911       0.056432       0.056432        11      10.0      11.0       0.238487     128.199997     238.130005      58.540001      60.889999     145.220001      36.680000
    -20.00    -10.00      20.987940       0.090207       0.090207        11      10.0      11.0       0.238487     126.120003     238.630005      53.669998      62.500000     145.029999      41.910000
    -20.00     -5.00      16.493971       0.101796       0.101796        11      10.0      11.0       0.238487     126.440002     240.949997      50.470001      63.310001     144.389999      45.430000
    -20.00      0.00      12.000000       0.090695       0.090695        11      10.0      11.0       0.238487     129.460007     239.899994      52.250000      65.730003     148.679993      42.189999
    -20.00      5.00       7.506030       0.082904       0.082904        11      10.0      11.0       0.238487     135.330002     235.550003      58.380001      73.919998     161.009995      33.070000
    -20.00     10.00       3.012060       0.086422       0.086422        11      10.0      11.0       0.238487     135.789993     235.550003      56.619999      75.570000     162.639999      34.619999
    -10.00    -20.00      29.975880       0.028697       0.028697        11      10.0      11.0       0.238487     147.789993     248.660004      82.580002      34.639999     123.940002      13.130000
    -10.00    -15.00      25.481911       0.046937       0.046937        11      10.0      11.0       0.238487     138.029999     245.350006      69.720001      51.130001     138.009995      26.430000
    -10.00    -10.00      20.987940       0.064548       0.064548        11      10.0      11.0       0.238487     131.789993     242.509995      56.750000      61.639999     145.389999      38.540001
    -10.00     -5.00      16.493971       0.073681       0.073681        11      10.0      11.0       0.238487     133.410004     244.330002      53.209999      64.470001     147.449997      41.580002
    -10.00      0.00      12.000000       0.071132       0.071132        11      10.0      11.0       0.238487     139.509995     243.949997      56.209999      69.559998     155.149994      36.410000
    -10.00      5.00       7.506030       0.065888       0.065888        11      10.0      11.0       0.238487     143.580002     243.350006      60.650002      73.209999     160.649994      30.799999
    -10.00     10.00       3.012060       0.067742       0.067742        11      10.0      11.0       0.238487     142.949997     243.419998      57.840000      73.879997     160.850006      33.650002
      0.00    -20.00      29.975880       0.030585       0.030585        11      10.0      11.0       0.238487     154.820007     249.059998      87.760002      27.850000     117.769997       4.790000
      0.00    -15.00      25.481911       0.044097       0.044097        11      10.0      11.0       0.238487     150.970001     254.750000      78.300003      41.009998     129.600006      18.000000
      0.00    -10.00      20.987940       0.043390       0.043390        11      10.0      11.0       0.238487     146.539993     253.610001      60.200001      62.869999     148.300003      33.939999
      0.00     -5.00      16.493971       0.052270       0.052270        11      10.0      11.0       0.238487     149.889999     253.279999      53.669998      72.519997     158.110001      38.400002
      0.00      0.00      12.000000       0.056241       0.056241        11      10.0      11.0       0.238487     156.309998     255.649994      57.970001      75.449997     162.759995      33.230000
      0.00      5.00       7.506030       0.051257       0.051257        11      10.0      11.0       0.238487     164.339996     261.420013      73.239998      67.750000     156.710007      18.150000
      0.00     10.00       3.012060       0.047422       0.047422        11      10.0      11.0       0.238487     167.300003     262.630005      76.099998      69.430000     158.779999      14.870000
     10.00    -20.00      29.975880       0.021610       0.021610        11      10.0      11.0       0.238487     236.020004     352.209991      29.420000      76.029999     -29.450001    -116.150002
     10.00    -15.00      25.481911       0.029553       0.029553        11      10.0      11.0       0.238487       4.060000     259.920013      71.559998      53.779999    -141.470001     -23.090000
     10.00    -10.00      20.987940       0.032603       0.032603        11      10.0      11.0       0.238487       1.380000     269.149994      84.099998      69.330002    -159.210007      -6.310000
     10.00     -5.00      16.493971       0.041345       0.041345        11      10.0      11.0       0.238487     274.149994     182.149994      66.349998      85.440002       4.970000     156.270004
     10.00      0.00      12.000000       0.054749       0.054749        11      10.0      11.0       0.238487      24.840000     266.179993      69.089996      38.540001    -123.139999     -34.939999
     10.00      5.00       7.506030       0.064879       0.064879        11      10.0      11.0       0.238487      31.059999     265.309998      60.029999      44.619999    -124.760002     -45.320000
     10.00     10.00       3.012060       0.064552       0.064552        11      10.0      11.0       0.238487      32.330002     263.299988      54.439999      48.619999    -125.650002     -50.799999
     20.00    -20.00      29.975880       0.020263       0.020263        11      10.0      11.0       0.238487      46.470001     277.200012      41.889999      60.419998    -132.320007     -58.880001
     20.00    -15.00      25.481911       0.031878       0.031878        11      10.0      11.0       0.238487      36.700001     263.000000      47.990002      52.509998    -125.000000     -57.509998
     20.00    -10.00      20.987940       0.050796       0.050796        11      10.0      11.0       0.238487      37.060001     266.000000      55.509998      46.290001    -123.029999     -51.570000
     20.00     -5.00      16.493971       0.063958       0.063958        11      10.0      11.0       0.238487      41.459999     260.299988      58.220001      38.500000    -112.980003     -57.779999
     20.00      0.00      12.000000       0.084451       0.084451        11      10.0      11.0       0.238487      57.730000     248.610001      53.139999      37.360001     -96.580002     -81.309998
     20.00      5.00       7.506030       0.105669       0.105669        11      10.0      11.0       0.238487      63.349998     251.690002      47.830002      42.470001     -95.620003     -83.830002
     20.00     10.00       3.012060       0.105825       0.105825        11      10.0      11.0       0.238487      65.720001     248.440002      46.910000      43.130001     -91.860001     -88.010002
     30.00    -20.00      29.975880       0.026141       0.026141        11      10.0      11.0       0.238487      54.639999     276.839996      40.950001      57.270000    -124.400002     -63.880001
     30.00    -15.00      25.481911       0.049078       0.049078        11      10.0      11.0       0.238487      48.250000     264.709991      52.610001      43.529999    -114.160004     -61.830002
     30.00    -10.00      20.987940       0.072813       0.072813        11      10.0      11.0       0.238487      47.619999     262.890015      53.740002      41.939999    -112.699997     -62.250000
     30.00     -5.00      16.493971       0.089446       0.089446        11      10.0      11.0       0.238487      49.650002     259.769989      52.410000      41.669998    -109.489998     -66.570000
     30.00      0.00      12.000000       0.106550       0.106550        11      10.0      11.0       0.238487      65.980003     246.550003      49.290001      40.709999     -90.370003     -89.570000
     30.00      5.00       7.506030       0.126870       0.126870        11      10.0      11.0       0.238487      72.519997     246.589996      46.980000      43.169998     -85.949997     -94.330002
     30.00     10.00       3.012060       0.136053       0.136053        11      10.0      11.0       0.238487      71.779999     246.509995      49.599998      40.520000     -86.580002     -94.010002
     40.00    -20.00      29.975880       0.032923       0.032923        11      10.0      11.0       0.238487      58.340000     251.919998      26.940001      63.709999    -102.150002     -83.889999
     40.00    -15.00      25.481911       0.050870       0.050870        11      10.0      11.0       0.238487      48.849998     258.820007      43.790001      50.290001    -112.599998     -69.779999
     40.00    -10.00      20.987940       0.074152       0.074152        11      10.0      11.0       0.238487      52.759998     254.320007      48.529999      43.540001    -104.660004     -74.019997
     40.00     -5.00      16.493971       0.096767       0.096767        11      10.0      11.0       0.238487      60.279999     249.990005      47.520000      42.889999     -96.589996     -82.849998
     40.00      0.00      12.000000       0.105626       0.105626        11      10.0      11.0       0.238487      64.959999     245.789993      46.410000      43.599998     -90.580002     -89.400002
     40.00      5.00       7.506030       0.127747       0.127747        11      10.0      11.0       0.238487      74.129997     243.449997      45.139999      45.360001     -82.419998     -97.550003
     40.00     10.00       3.012060       0.136899       0.136899        11      10.0      11.0       0.238487      75.519997     241.679993      49.910000      40.919998     -80.989998    -100.540001
     50.00    -20.00      29.975880       0.040373       0.040373        11      10.0      11.0       0.238487     250.550003      36.959999      71.660004      21.700001     -78.199997    -121.680000
     50.00    -15.00      25.481911       0.046959       0.046959        11      10.0      11.0       0.238487      39.230000     244.610001      30.590000      61.889999    -112.220001     -77.400002
     50.00    -10.00      20.987940       0.055948       0.055948        11      10.0      11.0       0.238487      55.590000     241.860001      40.389999      49.779999     -94.779999     -85.949997
     50.00     -5.00      16.493971       0.063819       0.063819        11      10.0      11.0       0.238487      67.320000     231.300003      43.849998      47.290001     -78.300003    -101.029999
