      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.000000       0.000000        10       9.0      10.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00    -15.00      25.481911       0.000000       0.000000        10       9.0      10.0       0.238487     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00    -10.00      20.987940       0.003563       0.003563        10       9.0      10.0       0.238487      37.220001     277.950012      83.089996      13.920000      77.889999     149.990005
    -60.00     -5.00      16.493971       0.001088       0.001088        10       9.0      10.0       0.238487     156.610001     328.579987      63.349998      26.870001     -86.379997     -97.169998
    -60.00      0.00      12.000000       0.003618       0.003618        10       9.0      10.0       0.238487      94.339996     279.700012      80.580002       9.470000     -90.879997     -84.709999
    -60.00      5.00       7.506030       0.004401       0.004401        10       9.0      10.0       0.238487      47.119999     276.429993      68.940002      30.570000    -112.680000     -44.959999
    -60.00     10.00       3.012060       0.003423       0.003423        10       9.0      10.0       0.238487      33.279999     259.850006      84.019997       8.670000     -96.279999     -43.759998
    -50.00    -20.00      29.975880       0.028755       0.028755        10       9.0      10.0       0.238487      97.790001     274.089996      69.690002      20.350000      91.290001      86.529999
    -50.00    -15.00      25.481911       0.046760       0.046760        10       9.0      10.0       0.238487      97.559998     251.250000      49.680000      43.430000     107.739998      70.250000
    -50.00    -10.00      20.987940       0.038438       0.038438        10       9.0      10.0       0.238487     113.889999     228.539993      52.639999      61.349998     142.899994      43.750000
    -50.00     -5.00      16.493971       0.035476       0.035476        10       9.0      10.0       0.238487     122.120003      29.920000      80.050003      77.620003    -167.429993     -10.190000
    -50.00      0.00      12.000000       0.032297       0.032297        10       9.0      10.0       0.238487     123.889999      20.469999      73.290001      52.290001    -140.309998     -21.309999
    -50.00      5.00       7.506030       0.026611       0.026611        10       9.0      10.0       0.238487     135.380005      23.600000      63.849998      52.919998    -137.800003     -33.529999
    -50.00     10.00       3.012060       0.028664       0.028664        10       9.0      10.0       0.238487     138.979996      34.169998      53.380001      71.019997    -156.089996     -39.110001
    -40.00    -20.00      29.975880       0.049807       0.049807        10       9.0      10.0       0.238487     116.580002     243.770004      64.050003      38.840000     119.980003      44.250000
    -40.00    -15.00      25.481911       0.077329       0.077329        10       9.0      10.0       0.238487     114.580002     235.009995      58.540001      50.380001     131.630005      42.650002
    -40.00    -10.00      20.987940       0.078510       0.078510        10       9.0      10.0       0.238487     118.489998     226.750000      61.110001      60.410000     145.669998      33.750000
    -40.00     -5.00      16.493971       0.074146       0.074146        10       9.0      10.0       0.238487     127.309998     217.580002      80.400002      88.419998     178.399994       9.600000
    -40.00      0.00      12.000000       0.070901       0.070901        10       9.0      10.0       0.238487     305.959991      36.650002      88.169998      69.529999     159.520004       1.950000
    -40.00      5.00       7.506030       0.066945       0.066945        10       9.0      10.0       0.238487     130.800003      38.840000      83.349998      73.650002    -163.539993      -6.930000
    -40.00     10.00       3.012060       0.064565       0.064565        10       9.0      10.0       0.238487     134.050003      41.630001      78.040001      78.720001    -168.470001     -12.200000
    -30.00    -20.00      29.975880       0.051474       0.051474        10       9.0      10.0       0.238487     118.779999     242.029999      64.949997      40.450001     122.860001      40.750000
    -30.00    -15.00      25.481911       0.079126       0.079126        10       9.0      10.0       0.238487     116.660004     236.990005      62.439999      45.950001     128.350006      40.070000
    -30.00    -10.00      20.987940       0.087947       0.087947        10       9.0      10.0       0.238487     121.010002     230.889999      60.880001      58.599998     143.389999      34.759998
    -30.00     -5.00      16.493971       0.091566       0.091566        10       9.0      10.0       0.238487     127.370003     226.949997      63.799999      71.320000     159.089996      27.780001
    -30.00      0.00      12.000000       0.094201       0.094201        10       9.0      10.0       0.238487     310.489990      42.099998      84.910004      72.540001     162.470001       5.340000
    -30.00      5.00       7.506030       0.093419       0.093419        10       9.0      10.0       0.238487     134.539993      43.240002      81.870003      80.919998    -170.830002      -8.230000
    -30.00     10.00       3.012060       0.091788       0.091788        10       9.0      10.0       0.238487     134.990005      44.320000      87.089996      77.120003    -167.100006      -2.990000
    -20.00    -20.00      29.975880       0.028674       0.028674        10       9.0      10.0       0.238487     129.529999     232.550003      71.570000      55.930000     143.809998      22.430000
    -20.00    -15.00      25.481911       0.059844       0.059844        10       9.0      10.0       0.238487     122.739998     238.289993      65.010002      47.209999     131.460007      35.150002
    -20.00    -10.00      20.987940       0.081549       0.081549        10       9.0      10.0       0.238487     120.120003     241.250000      56.310001      52.209999     132.570007      44.580002
    -20.00     -5.00      16.493971       0.094729       0.094729        10       9.0      10.0       0.238487     123.690002     241.350006      51.650002      59.599998     139.809998      46.000000
