      lon.         lat.     shear_stress(bar)   normal_stress(bar)   coulomb_stress(bar)
   -74.494011    18.184539     0.276080551181013E-02    -0.606294565499164E-02     0.335627249813476E-03
   -74.494011    18.194539     0.277284412644530E-02    -0.605022928111680E-02     0.352752413998578E-03
   -74.494011    18.204539     0.278158014367182E-02    -0.603678942950994E-02     0.366864371867841E-03
   -74.494011    18.214539     0.278700976387874E-02    -0.602269169134376E-02     0.377933087341241E-03
   -74.494011    18.224539     0.278913054839475E-02    -0.600800177805509E-02     0.385929837172718E-03
   -74.494011    18.234539     0.278794739715171E-02    -0.599278641084801E-02     0.390832832812501E-03
   -74.494011    18.244539     0.278347016957694E-02    -0.597711273513111E-02     0.392625075524494E-03
   -74.494011    18.254539     0.277571339367476E-02    -0.596104810264841E-02     0.391294152615390E-03
   -74.494011    18.264539     0.276469681583652E-02    -0.594466000138401E-02     0.386832815282913E-03
   -74.494011    18.274539     0.275044511549287E-02    -0.592801583862971E-02     0.379238780040979E-03
   -74.494011    18.284539     0.273298811868418E-02    -0.591118281291236E-02     0.368514993519241E-03
   -74.494011    18.294539     0.271236067593317E-02    -0.589422772817452E-02     0.354669584663367E-03
   -74.494011    18.304539     0.268860261966210E-02    -0.587721682396302E-02     0.337715890076896E-03
   -74.494011    18.314539     0.266175877369885E-02    -0.586021561743130E-02     0.317672526726333E-03
   -74.494011    18.324539     0.263187885205224E-02    -0.584328872901665E-02     0.294563360445580E-03
   -74.494011    18.334539     0.259901741026192E-02    -0.582649972098306E-02     0.268417521868701E-03
   -74.494011    18.344539     0.256323375623387E-02    -0.580991093321504E-02     0.239269382947852E-03
   -74.494011    18.354539     0.252459185666375E-02    -0.579358332302350E-02     0.207158527454350E-03
   -74.494011    18.364539     0.248316023184843E-02    -0.577757630831663E-02     0.172129708521783E-03
   -74.494011    18.374539     0.243901183666366E-02    -0.576194761396305E-02     0.134232791078444E-03
   -74.494011    18.384539     0.239222392844607E-02    -0.574675312264686E-02     0.935226793873285E-04
   -74.494011    18.394539     0.234287792944885E-02    -0.573204673098555E-02     0.500592370546345E-04
   -74.494011    18.404539     0.229105927173263E-02    -0.571788021072745E-02     0.390718744165295E-05
   -74.494011    18.414539     0.223685723758514E-02    -0.570430307551690E-02    -0.448639926216147E-04
   -74.494011    18.424539     0.218036478460003E-02    -0.569136245475940E-02    -0.961801973037358E-04
   -74.494011    18.434539     0.212167836396743E-02    -0.567910297366910E-02    -0.149962825500206E-03
   -74.494011    18.444539     0.206089771014847E-02    -0.566756664190305E-02    -0.206128946612749E-03
   -74.494011    18.454539     0.199812529530512E-02    -0.565679277327623E-02    -0.264591814005375E-03
   -74.494011    18.464539     0.193346783491926E-02    -0.564681776882987E-02    -0.325259272612689E-03
   -74.494011    18.474539     0.186703388735964E-02    -0.563767518120194E-02    -0.388036185121135E-03
   -74.494011    18.484539     0.179893257710859E-02    -0.562939570839339E-02    -0.452825706248760E-03
   -74.494011    18.494539     0.172927838738308E-02    -0.562200677194986E-02    -0.519524321396861E-03
   -74.494011    18.504539     0.165818630355406E-02    -0.561553277842276E-02    -0.588026807815046E-03
   -74.494011    18.514539     0.158577317956841E-02    -0.560999495461753E-02    -0.658224802278606E-03
   -74.494011    18.524539     0.151215741276845E-02    -0.560541131072017E-02    -0.730007111519620E-03
   -74.494011    18.534539     0.143745874664285E-02    -0.560179660347851E-02    -0.803259894748548E-03
   -74.494011    18.544539     0.136179793505703E-02    -0.559916231902534E-02    -0.877866992553103E-03
   -74.494011    18.554539     0.128529652586875E-02    -0.559751665664504E-02    -0.953710136789269E-03
   -74.494011    18.564539     0.120807662867564E-02    -0.559686452352553E-02    -0.103066918073457E-02
   -74.494011    18.574539     0.113026063914286E-02    -0.559720754230080E-02    -0.110862237777746E-02
   -74.494011    18.584539     0.105197101179951E-02    -0.559854406473001E-02    -0.118744661409250E-02
   -74.494011    18.594539     0.973330004521704E-03    -0.560086919713281E-02    -0.126701767433142E-02
   -74.494011    18.604539     0.894459447103479E-03    -0.560417483360705E-02    -0.134721048633934E-02
   -74.494011    18.614539     0.815480491096526E-03    -0.560844969997865E-02    -0.142789938889493E-02
   -74.494011    18.624539     0.736513380970178E-03    -0.561367940539618E-02    -0.150895838118829E-02
   -74.494011    18.634539     0.657677221792609E-03    -0.561984650333973E-02    -0.159026137954328E-02
   -74.494011    18.644539     0.579089751380595E-03    -0.562693056091010E-02    -0.167168247298344E-02
   -74.494011    18.654539     0.500867122297012E-03    -0.563490823603728E-02    -0.175309617211790E-02
   -74.494011    18.655239     0.495408167892161E-03    -0.563549947977596E-02    -0.175879162401822E-02
   -74.484011    18.184539     0.281260826337130E-02    -0.615975605924916E-02     0.348705839671634E-03
   -74.484011    18.194539     0.282536502394175E-02    -0.614669036760709E-02     0.366688876898912E-03
   -74.484011    18.204539     0.283472427493892E-02    -0.613287259092322E-02     0.381575238569630E-03
   -74.484011    18.214539     0.284067152134168E-02    -0.611836888636990E-02     0.393323966793717E-03
   -74.484011    18.224539     0.284321418648628E-02    -0.610324917620844E-02     0.401914516002904E-03
   -74.484011    18.234539     0.284235319977546E-02    -0.608758196567362E-02     0.407320413506007E-03
   -74.484011    18.244539     0.283809784433744E-02    -0.607143678730507E-02     0.409523129415417E-03
   -74.484011    18.254539     0.283046253456399E-02    -0.605488345808959E-02     0.408509151328151E-03
   -74.484011    18.264539     0.281946705826680E-02    -0.603799194721818E-02     0.404270279379523E-03
   -74.484011    18.274539     0.280513638501443E-02    -0.602083216764228E-02     0.396803517957515E-03
   -74.484011    18.284539     0.278750080802489E-02    -0.600347382721900E-02     0.386111277137295E-03
   -74.484011    18.294539     0.276659586126171E-02    -0.598598624172588E-02     0.372201364571360E-03
   -74.484011    18.304539     0.274246229127411E-02    -0.596843815952670E-02     0.355087027463429E-03
   -74.484011    18.314539     0.271514602057766E-02    -0.595089758765317E-02     0.334786985516388E-03
   -74.484011    18.324539     0.268469809313993E-02    -0.593343161762435E-02     0.311325446090185E-03
   -74.484011    18.334539     0.265117458768162E-02    -0.591610624973527E-02     0.284732087787511E-03
   -74.484011    18.344539     0.261463654585965E-02    -0.589898622438357E-02     0.255042056106221E-03
   -74.484011    18.354539     0.257514986638570E-02    -0.588213485232132E-02     0.222295925457172E-03
   -74.484011    18.364539     0.253278519991615E-02    -0.586561385073010E-02     0.186539659624107E-03
   -74.484011    18.374539     0.248761782134235E-02    -0.584948318153310E-02     0.147824548729109E-03
   -74.484011    18.384539     0.243972749765848E-02    -0.583380089527261E-02     0.106207139549435E-03
   -74.484011    18.394539     0.238919833912749E-02    -0.581862297973014E-02     0.617491472354311E-04
   -74.484011    18.404539     0.233611864073724E-02    -0.580400321383338E-02     0.145173552038897E-04
   -74.484011    18.414539     0.228058071365965E-02    -0.578999302854559E-02    -0.354164977585895E-04
   -74.484011    18.424539     0.222268070415337E-02    -0.577664137380519E-02    -0.879758453687074E-04
   -74.484011    18.434539     0.216251840246182E-02    -0.576399459290248E-02    -0.143079434699173E-03
   -74.484011    18.444539     0.210019698960516E-02    -0.575209630782591E-02    -0.200641533525208E-03
   -74.484011    18.454539     0.203582370971177E-02    -0.574098724775694E-02    -0.260571189391003E-03
   -74.484011    18.464539     0.196950613103501E-02    -0.573070539381295E-02    -0.322776026490166E-03
   -74.484011    18.474539     0.190135862721617E-02    -0.572128541692173E-02    -0.387155539552520E-03
   -74.484011    18.484539     0.183149458024055E-02    -0.571275912318144E-02    -0.453609069032023E-03
   -74.484011    18.494539     0.176003198538251E-02    -0.570515497091356E-02    -0.522030002982916E-03
   -74.484011    18.504539     0.168708998976582E-02    -0.569849823101730E-02    -0.592309302641104E-03
   -74.484011    18.514539     0.161278957554486E-02    -0.569281086674604E-02    -0.664334771153559E-03
   -74.484011    18.524539     0.153725347827015E-02    -0.568811147702756E-02    -0.737991112540878E-03
   -74.484011    18.534539     0.146060571524059E-02    -0.568441527686387E-02    -0.813160395504952E-03
   -74.484011    18.544539     0.138297137887340E-02    -0.568173406920930E-02    -0.889722248810321E-03
   -74.484011    18.554539     0.130447638596951E-02    -0.568007623012997E-02    -0.967554106082479E-03
   -74.484011    18.564539     0.122524720795329E-02    -0.567944670555402E-02    -0.104653147426831E-02
   -74.484011    18.574539     0.114541061825113E-02    -0.567984701701525E-02    -0.112652818855497E-02
   -74.484011    18.584539     0.106509343403984E-02    -0.568127527797261E-02    -0.120741667714920E-02
   -74.484011    18.594539     0.984422254769962E-03    -0.568372622064142E-02    -0.128906823348661E-02
   -74.484011    18.604539     0.903523214067468E-03    -0.568719123162436E-02    -0.137135327858228E-02
   -74.484011    18.614539     0.822521727356160E-03    -0.569165839809900E-02    -0.145414163188344E-02
   -74.484011    18.624539     0.741542245120404E-03    -0.569711256304389E-02    -0.153730278009715E-02
   -74.484011    18.634539     0.660708011639705E-03    -0.570353538964131E-02    -0.162070614421682E-02
   -74.484011    18.644539     0.580140829207203E-03    -0.571090543452214E-02    -0.170422134460165E-02
   -74.484011    18.654539     0.499960827641207E-03    -0.571919822955576E-02    -0.178771846418110E-02
   -74.484011    18.655239     0.494365794896696E-03    -0.571981259137574E-02    -0.179355924165360E-02
   -74.474011    18.184539     0.286561760895353E-02    -0.625869122289796E-02     0.362141119794342E-03
   -74.474011    18.194539     0.287912648461645E-02    -0.624526609550857E-02     0.381020046413025E-03
   -74.474011    18.204539     0.288913794824738E-02    -0.623105865111382E-02     0.396714487801853E-03
   -74.474011    18.214539     0.289563434129153E-02    -0.621613704228772E-02     0.409179524376440E-03
   -74.474011    18.224539     0.289862351348423E-02    -0.620057384175694E-02     0.418393976781454E-03
   -74.474011    18.234539     0.289810569247435E-02    -0.618444002034113E-02     0.424329684337896E-03
   -74.474011    18.244539     0.289408971891173E-02    -0.616780762776793E-02     0.426966667804559E-03
   -74.474011    18.254539     0.288658982020424E-02    -0.615074904077450E-02     0.426290203894438E-03
   -74.474011    18.264539     0.287562575214989E-02    -0.613333680478366E-02     0.422291030236422E-03
   -74.474011    18.274539     0.286122279063957E-02    -0.611564344920724E-02     0.414965410956673E-03
   -74.474011    18.284539     0.284341167766231E-02    -0.609774129558090E-02     0.404315159429952E-03
   -74.474011    18.294539     0.282222864386683E-02    -0.607970228074620E-02     0.390347731568349E-03
   -74.474011    18.304539     0.279771535628668E-02    -0.606159776863281E-02     0.373076248833554E-03
   -74.474011    18.314539     0.276991887864690E-02    -0.604349836747619E-02     0.352519531656422E-03
   -74.474011    18.324539     0.273889160340445E-02    -0.602547374498770E-02     0.328702105409368E-03
   -74.474011    18.334539     0.270469118519593E-02    -0.600759244804338E-02     0.301654205978576E-03
