      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.022832       0.022832        23      22.0      23.0       0.244736      49.020000     286.570007      75.879997      25.110001      69.010002     144.929993
    -60.00    -15.00      25.481911       0.031988       0.031988        23      22.0      23.0       0.244736      58.540001     284.109985      63.700001      35.230000      65.680000     129.800003
    -60.00    -10.00      20.987940       0.039887       0.039887        23      22.0      23.0       0.244736      97.900002     234.619995      66.750000      30.549999     110.389999      50.950001
    -60.00     -5.00      16.493971       0.033707       0.033707        23      22.0      23.0       0.244736     112.779999     227.210007      75.169998      32.630001     119.400002      28.340000
    -60.00      0.00      12.000000       0.026476       0.026476        23      22.0      23.0       0.244736     122.279999     215.279999      88.730003      22.920000     112.889999       3.260000
    -60.00      5.00       7.506030       0.021425       0.021425        23      22.0      23.0       0.244736     143.009995     292.839996      16.969999      75.220001     -60.930000     -98.440002
    -60.00     10.00       3.012060       0.024216       0.024216        23      22.0      23.0       0.244736     104.800003     282.470001      33.020000      57.000000     -88.050003     -91.269997
    -50.00    -20.00      29.975880       0.029816       0.029816        23      22.0      23.0       0.244736     201.619995      82.839996      88.419998       3.280000     -92.870003     -28.820000
    -50.00    -15.00      25.481911       0.007438       0.007438        23      22.0      23.0       0.244736     291.899994      22.080000      78.779999      89.110001     179.089996      11.220000
    -50.00    -10.00      20.987940       0.012574       0.012574        23      22.0      23.0       0.244736      99.029999     332.529999      16.830000      79.800003    -142.300003     -76.540001
    -50.00     -5.00      16.493971       0.011538       0.011538        23      22.0      23.0       0.244736     135.429993     288.160004      16.709999      75.059998     -63.720001     -97.570000
    -50.00      0.00      12.000000       0.017549       0.017549        23      22.0      23.0       0.244736      94.339996     275.820007      19.160000      70.849998     -91.389999     -89.519997
    -50.00      5.00       7.506030       0.005869       0.005869        23      22.0      23.0       0.244736     120.360001     248.690002      13.260000      81.680000     -39.090000    -100.360001
    -50.00     10.00       3.012060       0.013251       0.013251        23      22.0      23.0       0.244736     103.870003     255.250000      47.119999      46.610001     -69.629997    -110.550003
    -40.00    -20.00      29.975880       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00    -15.00      25.481911       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00    -10.00      20.987940       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00     -5.00      16.493971       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00      0.00      12.000000       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00      5.00       7.506030       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -40.00     10.00       3.012060       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00    -20.00      29.975880       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -30.00    -15.00      25.481911       0.000000       0.000000        23      22.0      23.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
