      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.012336       0.012336        11      10.0      11.0       0.244736      58.119999     294.790009      47.529999      59.020000    -135.750000     -51.950001
    -60.00    -15.00      25.481911       0.014875       0.014875        11      10.0      11.0       0.244736     164.330002     326.420013       9.560000      80.889999     -72.320000     -92.930000
    -60.00    -10.00      20.987940       0.017318       0.017318        11      10.0      11.0       0.244736     119.709999     212.759995      87.180000      42.740002     132.669998       4.160000
    -60.00     -5.00      16.493971       0.012947       0.012947        11      10.0      11.0       0.244736      33.230000     134.869995      88.419998       7.800000     -82.360001    -168.259995
    -60.00      0.00      12.000000       0.022190       0.022190        11      10.0      11.0       0.244736      63.560001     304.500000      62.020000      47.570000    -130.179993     -39.470001
    -60.00      5.00       7.506030       0.040298       0.040298        11      10.0      11.0       0.244736      67.500000     310.769989      31.959999      74.320000    -149.300003     -61.790001
    -60.00     10.00       3.012060       0.045011       0.045011        11      10.0      11.0       0.244736      65.230003     303.250000      40.410000      65.730003    -140.649994     -56.639999
    -50.00    -20.00      29.975880       0.025865       0.025865        11      10.0      11.0       0.244736      96.120003     243.029999      66.360001      27.580000     104.639999      59.990002
    -50.00    -15.00      25.481911       0.038074       0.038074        11      10.0      11.0       0.244736     101.070000     232.300003      67.989998      31.520000     113.150002      45.799999
    -50.00    -10.00      20.987940       0.032986       0.032986        11      10.0      11.0       0.244736     121.730003     224.529999      74.300003      51.759998     139.990005      20.150000
    -50.00     -5.00      16.493971       0.021990       0.021990        11      10.0      11.0       0.244736     135.759995      27.610001      30.950001      79.419998    -159.089996     -60.740002
    -50.00      0.00      12.000000       0.039653       0.039653        11      10.0      11.0       0.244736     191.350006      24.930000      15.930000      74.500000    -103.070000     -86.309998
    -50.00      5.00       7.506030       0.052596       0.052596        11      10.0      11.0       0.244736      28.610001     235.389999      73.500000      18.360001     -98.160004     -64.410004
    -50.00     10.00       3.012060       0.054357       0.054357        11      10.0      11.0       0.244736      36.349998     256.179993      66.809998      29.150000    -108.169998     -53.939999
    -40.00    -20.00      29.975880       0.038018       0.038018        11      10.0      11.0       0.244736     105.339996     241.660004      59.480000      39.180000     115.870003      53.490002
    -40.00    -15.00      25.481911       0.056529       0.056529        11      10.0      11.0       0.244736     114.589996     239.119995      59.910000      45.630001     126.080002      44.540001
    -40.00    -10.00      20.987940       0.054363       0.054363        11      10.0      11.0       0.244736     131.369995     233.009995      67.139999      64.430000     152.070007      25.510000
    -40.00     -5.00      16.493971       0.050234       0.050234        11      10.0      11.0       0.244736     139.460007     235.559998      64.930000      77.209999     165.850006      25.750000
    -40.00      0.00      12.000000       0.051844       0.051844        11      10.0      11.0       0.244736     144.559998      52.419998      47.830002      87.639999    -176.809998     -42.209999
    -40.00      5.00       7.506030       0.053584       0.053584        11      10.0      11.0       0.244736     160.830002      47.580002      33.680000      75.260002    -152.699997     -59.369999
    -40.00     10.00       3.012060       0.055248       0.055248        11      10.0      11.0       0.244736     176.800003      45.040001      29.940001      69.019997    -134.139999     -68.150002
    -30.00    -20.00      29.975880       0.032182       0.032182        11      10.0      11.0       0.244736      60.090000     310.540009      67.769997      50.689999      43.180000     150.729996
    -30.00    -15.00      25.481911       0.057662       0.057662        11      10.0      11.0       0.244736     128.360001     238.330002      62.680000      56.520000     141.619995      33.380001
    -30.00    -10.00      20.987940       0.071775       0.071775        11      10.0      11.0       0.244736     136.259995     237.960007      63.930000      67.480003     154.770004      28.400000
    -30.00     -5.00      16.493971       0.074132       0.074132        11      10.0      11.0       0.244736     142.830002     238.509995      65.959999      77.489998     166.279999      24.670000
    -30.00      0.00      12.000000       0.068870       0.068870        11      10.0      11.0       0.244736     148.889999     239.020004      66.089996      89.699997     179.669998      23.910000
