      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.029600       0.029600        17      16.0      17.0       0.244736      92.050003     249.240005      66.930000      24.799999     -80.639999    -110.889999
    -60.00    -15.00      25.481911       0.039395       0.039395        17      16.0      17.0       0.244736      91.699997     237.699997      68.860001      25.010000     -76.320000    -121.440002
    -60.00    -10.00      20.987940       0.041972       0.041972        17      16.0      17.0       0.244736      88.550003     237.910004      70.849998      21.980000     -79.000000    -118.779999
    -60.00     -5.00      16.493971       0.047110       0.047110        17      16.0      17.0       0.244736      79.989998     251.119995      72.489998      17.709999     -87.309998     -98.459999
    -60.00      0.00      12.000000       0.048280       0.048280        17      16.0      17.0       0.244736      85.790001     278.190002      71.599998      18.809999     -93.970001     -78.250000
    -60.00      5.00       7.506030       0.039929       0.039929        17      16.0      17.0       0.244736      89.389999     309.089996      69.809998      25.549999    -105.989998     -53.169998
    -60.00     10.00       3.012060       0.037524       0.037524        17      16.0      17.0       0.244736      83.169998     311.170013      71.470001      26.610001    -109.440002     -45.209999
    -50.00    -20.00      29.975880       0.046818       0.046818        17      16.0      17.0       0.244736      87.900002     248.369995      68.470001      22.709999     -82.580002    -108.120003
    -50.00    -15.00      25.481911       0.063135       0.063135        17      16.0      17.0       0.244736      83.220001     250.330002      68.150002      22.360001     -85.129997    -101.959999
    -50.00    -10.00      20.987940       0.063764       0.063764        17      16.0      17.0       0.244736      78.879997     248.559998      69.500000      20.799999     -86.349998     -99.660004
    -50.00     -5.00      16.493971       0.062761       0.062761        17      16.0      17.0       0.244736      82.059998     256.779999      68.279999      21.809999     -88.040001     -94.900002
    -50.00      0.00      12.000000       0.056839       0.056839        17      16.0      17.0       0.244736      83.589996     281.679993      67.620003      23.430000     -97.089996     -73.320000
    -50.00      5.00       7.506030       0.052143       0.052143        17      16.0      17.0       0.244736      98.930000     304.700012      66.019997      26.290001    -101.099998     -66.599998
    -50.00     10.00       3.012060       0.054341       0.054341        17      16.0      17.0       0.244736      94.309998     313.450012      68.440002      27.000000    -106.650002     -54.060001
    -40.00    -20.00      29.975880       0.048726       0.048726        17      16.0      17.0       0.244736      72.580002     258.670013      64.760002      25.360001     -92.599998     -84.489998
    -40.00    -15.00      25.481911       0.066659       0.066659        17      16.0      17.0       0.244736      71.300003     262.369995      64.980003      25.430000     -94.730003     -79.980003
    -40.00    -10.00      20.987940       0.062537       0.062537        17      16.0      17.0       0.244736      77.029999     254.440002      65.959999      24.070000     -88.940002     -92.360001
    -40.00     -5.00      16.493971       0.048603       0.048603        17      16.0      17.0       0.244736      81.589996     257.209991      64.180000      25.879999     -88.089996     -93.940002
    -40.00      0.00      12.000000       0.045147       0.045147        17      16.0      17.0       0.244736      94.300003     280.750000      61.430000      28.719999     -93.099998     -84.339996
    -40.00      5.00       7.506030       0.043904       0.043904        17      16.0      17.0       0.244736     106.059998     298.510010      59.610001      30.990000     -96.370003     -79.290001
    -40.00     10.00       3.012060       0.052870       0.052870        17      16.0      17.0       0.244736     106.750000     312.049988      65.000000      27.280001    -101.290001     -67.209999
    -30.00    -20.00      29.975880       0.039067       0.039067        17      16.0      17.0       0.244736      50.349998     274.220001      59.910000      38.790001    -115.730003     -53.160000
    -30.00    -15.00      25.481911       0.047929       0.047929        17      16.0      17.0       0.244736      58.020000     271.859985      58.049999      36.900002    -109.540001     -61.799999
    -30.00    -10.00      20.987940       0.038532       0.038532        17      16.0      17.0       0.244736      66.989998     267.269989      58.200001      33.459999    -101.019997     -72.870003
    -30.00     -5.00      16.493971       0.024749       0.024749        17      16.0      17.0       0.244736      73.680000     257.489990      50.980000      39.090000     -92.400002     -87.040001
    -30.00      0.00      12.000000       0.025509       0.025509        17      16.0      17.0       0.244736     114.809998     276.640015      53.320000      38.090000     -78.910004    -104.480003
    -30.00      5.00       7.506030       0.027669       0.027669        17      16.0      17.0       0.244736     122.169998     296.279999      54.950001      35.189999     -86.610001     -94.820000
    -30.00     10.00       3.012060       0.030975       0.030975        17      16.0      17.0       0.244736     127.580002     322.489990      61.270000      29.559999     -97.300003     -76.959999
    -20.00    -20.00      29.975880       0.015490       0.015490        17      16.0      17.0       0.244736      28.469999     277.350006      52.849998      64.559998    -147.389999     -41.970001
    -20.00    -15.00      25.481911       0.013667       0.013667        17      16.0      17.0       0.244736      63.119999     332.750000      89.900002      15.050000      74.949997     179.619995
    -20.00    -10.00      20.987940       0.007471       0.007471        17      16.0      17.0       0.244736     303.540009      43.910000      63.759998      69.930000     157.500000      28.090000
    -20.00     -5.00      16.493971       0.004715       0.004715        17      16.0      17.0       0.244736     148.860001      52.349998      55.930000      80.480003    -168.490005     -34.610001
    -20.00      0.00      12.000000       0.006413       0.006413        17      16.0      17.0       0.244736     123.410004     306.230011      62.090000      27.940001     -91.320000     -87.510002
    -20.00      5.00       7.506030       0.008059       0.008059        17      16.0      17.0       0.244736      64.430000     209.410004      77.860001      14.720000     -81.620003    -124.120003
    -20.00     10.00       3.012060       0.008886       0.008886        17      16.0      17.0       0.244736     211.630005      56.070000      20.280001      71.410004    -113.089996     -81.750000
    -10.00    -20.00      29.975880       0.006394       0.006394        17      16.0      17.0       0.244736      25.150000     268.670013      56.820000      55.700001    -137.679993     -41.480000
    -10.00    -15.00      25.481911       0.004735       0.004735        17      16.0      17.0       0.244736      99.879997     244.169998      25.430000      68.889999     -57.020000    -104.510002
    -10.00    -10.00      20.987940       0.000000       0.000000        17      16.0      17.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00     -5.00      16.493971       0.000000       0.000000        17      16.0      17.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      0.00      12.000000       0.000000       0.000000        17      16.0      17.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -10.00      5.00       7.506030       0.000000       0.000000        17      16.0      17.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
