      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.020244       0.020244        16      15.0      16.0       0.244736      64.209999     261.059998      77.720001      12.820000     -93.690002     -73.550003
    -60.00    -15.00      25.481911       0.030984       0.030984        16      15.0      16.0       0.244736      75.099998     213.279999      74.059998      20.959999     -76.199997    -129.880005
    -60.00    -10.00      20.987940       0.039440       0.039440        16      15.0      16.0       0.244736      73.180000     221.809998      71.290001      21.639999     -78.930000    -119.540001
    -60.00     -5.00      16.493971       0.046911       0.046911        16      15.0      16.0       0.244736      80.019997     253.130005      69.769997      20.360001     -87.610001     -96.459999
    -60.00      0.00      12.000000       0.048932       0.048932        16      15.0      16.0       0.244736      82.889999     284.809998      63.230000      28.530001    -100.269997     -70.540001
    -60.00      5.00       7.506030       0.052218       0.052218        16      15.0      16.0       0.244736      79.910004     292.140015      62.889999      31.180000    -106.029999     -61.660000
    -60.00     10.00       3.012060       0.052478       0.052478        16      15.0      16.0       0.244736      82.190002     300.350006      65.860001      29.680000    -107.809998     -55.680000
    -50.00    -20.00      29.975880       0.038510       0.038510        16      15.0      16.0       0.244736      54.360001     273.760010      73.970001      20.400000    -102.779999     -52.410000
    -50.00    -15.00      25.481911       0.058265       0.058265        16      15.0      16.0       0.244736      60.709999     256.700012      70.510002      20.209999     -95.459999     -74.959999
    -50.00    -10.00      20.987940       0.058637       0.058637        16      15.0      16.0       0.244736      68.970001     247.539993      66.870003      23.129999     -89.440002     -91.320000
    -50.00     -5.00      16.493971       0.057054       0.057054        16      15.0      16.0       0.244736      75.739998     259.750000      66.279999      23.780001     -91.610001     -86.330002
    -50.00      0.00      12.000000       0.064007       0.064007        16      15.0      16.0       0.244736      90.339996     280.209991      61.730000      28.629999     -94.709999     -81.309998
    -50.00      5.00       7.506030       0.069752       0.069752        16      15.0      16.0       0.244736      85.139999     292.929993      62.450001      30.520000    -103.690002     -65.589996
    -50.00     10.00       3.012060       0.065726       0.065726        16      15.0      16.0       0.244736      85.080002     301.220001      64.470001      30.600000    -107.480003     -57.840000
    -40.00    -20.00      29.975880       0.033262       0.033262        16      15.0      16.0       0.244736      72.480003     242.350006      72.349998      17.910000     -86.900002     -99.639999
    -40.00    -15.00      25.481911       0.049237       0.049237        16      15.0      16.0       0.244736      65.910004     255.960007      67.620003      22.700001     -93.860001     -80.709999
    -40.00    -10.00      20.987940       0.049721       0.049721        16      15.0      16.0       0.244736      68.519997     257.600006      62.150002      28.150000     -94.269997     -81.970001
    -40.00     -5.00      16.493971       0.051593       0.051593        16      15.0      16.0       0.244736      79.839996     263.549988      59.900002      30.160000     -91.860001     -86.790001
    -40.00      0.00      12.000000       0.055711       0.055711        16      15.0      16.0       0.244736      91.019997     276.450012      56.549999      33.570000     -93.000000     -85.470001
    -40.00      5.00       7.506030       0.063820       0.063820        16      15.0      16.0       0.244736      95.410004     291.730011      60.610001      30.410000     -98.169998     -75.830002
    -40.00     10.00       3.012060       0.059324       0.059324        16      15.0      16.0       0.244736      95.879997     299.940002      60.419998      31.860001    -102.419998     -69.239998
    -30.00    -20.00      29.975880       0.013491       0.013491        16      15.0      16.0       0.244736      99.220001     226.639999      80.760002      14.990000     -78.150002    -141.619995
    -30.00    -15.00      25.481911       0.019375       0.019375        16      15.0      16.0       0.244736     122.779999     311.109985      67.739998      22.469999     -93.169998     -82.300003
    -30.00    -10.00      20.987940       0.022655       0.022655        16      15.0      16.0       0.244736      75.989998     237.839996      55.770000      35.599998     -79.550003    -104.930000
    -30.00     -5.00      16.493971       0.033162       0.033162        16      15.0      16.0       0.244736      88.360001     262.790009      56.759998      33.369999     -86.940002     -94.650002
    -30.00      0.00      12.000000       0.041778       0.041778        16      15.0      16.0       0.244736      86.250000     271.929993      52.889999      37.250000     -93.430000     -85.470001
    -30.00      5.00       7.506030       0.046212       0.046212        16      15.0      16.0       0.244736      92.739998     278.799988      57.889999      32.250000     -93.230003     -84.860001
    -30.00     10.00       3.012060       0.047543       0.047543        16      15.0      16.0       0.244736      97.269997     290.239990      60.990002      29.639999     -96.370003     -78.680000
    -20.00    -20.00      29.975880       0.018188       0.018188        16      15.0      16.0       0.244736     299.570007      45.480000      49.869999      71.989998     156.149994      42.660000
    -20.00    -15.00      25.481911       0.023286       0.023286        16      15.0      16.0       0.244736     298.299988      37.680000      49.549999      79.180000     165.720001      41.340000
    -20.00    -10.00      20.987940       0.025079       0.025079        16      15.0      16.0       0.244736     303.260010      43.599998      63.189999      70.449997     157.979996      28.590000
    -20.00     -5.00      16.493971       0.014079       0.014079        16      15.0      16.0       0.244736     147.059998      39.840000      71.699997      48.160000    -135.369995     -24.920000
    -20.00      0.00      12.000000       0.023622       0.023622        16      15.0      16.0       0.244736      87.750000     262.980011      62.139999      27.940001     -87.769997     -94.209999
    -20.00      5.00       7.506030       0.030918       0.030918        16      15.0      16.0       0.244736      58.610001     228.889999      69.650002      20.620001     -86.589996     -99.120003
    -20.00     10.00       3.012060       0.036083       0.036083        16      15.0      16.0       0.244736     221.339996      63.529999      18.980000      72.330002    -111.089996     -82.940002
    -10.00    -20.00      29.975880       0.012716       0.012716        16      15.0      16.0       0.244736      46.830002     303.510010      82.930000      28.280001      62.549999     164.949997
