      xloc      yloc          depth         ave SR         max SR         #     start       end     max SR all       strike 1       strike 2          dip 1          dip 2         rake 1         rake 2
    -60.00    -20.00      29.975880       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00    -15.00      25.481911       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00    -10.00      20.987940       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00     -5.00      16.493971       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00      0.00      12.000000       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00      5.00       7.506030       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -60.00     10.00       3.012060       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -50.00    -20.00      29.975880       0.000000       0.000000         8       7.0       8.0       0.244736     180.000000     360.000000      45.000000      45.000000      90.000000      90.000000
    -50.00    -15.00      25.481911       0.001086       0.001086         8       7.0       8.0       0.244736     123.970001     254.410004      80.570000      14.360000     100.879997      41.340000
    -50.00    -10.00      20.987940       0.001035       0.001035         8       7.0       8.0       0.244736     135.550003     247.080002      77.339996      31.459999     119.050003      24.820000
    -50.00     -5.00      16.493971       0.000934       0.000934         8       7.0       8.0       0.244736     131.130005      36.790001      48.619999      85.099998    -173.460007     -41.570000
    -50.00      0.00      12.000000       0.000549       0.000549         8       7.0       8.0       0.244736     131.729996     241.720001      57.060001      62.180000     146.220001      37.939999
    -50.00      5.00       7.506030       0.001097       0.001097         8       7.0       8.0       0.244736      44.290001     272.290009      58.810001      42.139999    -119.910004     -50.529999
    -50.00     10.00       3.012060       0.002213       0.002213         8       7.0       8.0       0.244736      74.070000     275.140015      46.810001      45.169998    -104.769997     -74.800003
    -40.00    -20.00      29.975880       0.023953       0.023953         8       7.0       8.0       0.244736     116.580002     359.179993      13.300000      83.790001    -151.949997     -78.209999
    -40.00    -15.00      25.481911       0.024176       0.024176         8       7.0       8.0       0.244736     171.850006       2.550000      10.780000      79.400002    -100.519997     -88.010002
    -40.00    -10.00      20.987940       0.022954       0.022954         8       7.0       8.0       0.244736     139.960007     236.050003      78.019997      63.419998     152.779999      13.420000
    -40.00     -5.00      16.493971       0.039236       0.039236         8       7.0       8.0       0.244736     132.710007     241.160004      67.730003      52.290001     138.630005      28.620001
    -40.00      0.00      12.000000       0.040671       0.040671         8       7.0       8.0       0.244736     138.449997     239.720001      64.070000      68.099998     155.500000      28.110001
    -40.00      5.00       7.506030       0.038749       0.038749         8       7.0       8.0       0.244736     144.490005     240.649994      52.939999      81.910004     169.839996      37.490002
    -40.00     10.00       3.012060       0.040413       0.040413         8       7.0       8.0       0.244736     320.700012      54.580002      85.580002      48.840000     138.690002       5.880000
    -30.00    -20.00      29.975880       0.048489       0.048489         8       7.0       8.0       0.244736     125.320000     238.940002      39.770000      71.559998     150.360001      54.119999
    -30.00    -15.00      25.481911       0.068774       0.068774         8       7.0       8.0       0.244736     134.320007     238.289993      40.830002      78.209999     161.800003      50.619999
