   No           lonR           latR             dR        D0    strike       dip      rake   strike2      dip2     rake2         x         y flag
   54     -73.097313      18.440029      16.493971     0.373   160.386    34.105  -151.550    46.223    74.507   -59.230    -40.00     -5.00    1
   55     -73.191917      18.437040      16.493971     0.638   145.429    59.440   176.701   237.108    87.159    30.602    -30.00     -5.00    0
   56     -73.286522      18.434000      16.493971     0.947   148.514    71.045  -178.933    58.167    88.991   -18.958    -20.00     -5.00    1
   57     -73.381126      18.430920      16.493971     1.312   125.552    29.849   120.081   271.816    64.489    73.954    -10.00     -5.00    0
   58     -73.475723      18.427790      16.493971     1.320   120.217    28.700   110.751   276.856    63.316    79.022      0.00     -5.00    0
   59     -73.570320      18.424610      16.493971     1.013   131.140    30.424   123.293   273.848    64.958    72.133     10.00     -5.00    0
   60     -73.664909      18.421391      16.493971     0.504   152.321    43.992   163.715   254.190    78.769    47.179     20.00     -5.00    0
   61     -73.759499      18.418119      16.493971     0.384   222.505    36.272   -61.256     8.277    58.754  -109.438     30.00     -5.00    1
   62     -73.854088      18.414801      16.493971     0.493   196.224    44.111   -67.310   346.011    50.046  -110.503     40.00     -5.00    1
   63     -73.948669      18.411440      16.493971     0.764   133.452    87.019  -172.124    43.040    82.134    -3.009     50.00     -5.00    1
   64     -74.043243      18.408020      16.493971     0.993   133.490    89.502  -172.763    43.427    82.763    -0.502     60.00     -5.00    1
   65     -74.137817      18.404560      16.493971     1.098   312.591    88.650   175.873    42.688    85.874     1.353     70.00     -5.00    0
   66     -74.232391      18.401060      16.493971     0.874   130.811    85.079  -177.859    40.628    87.867    -4.924     80.00     -5.00    1
   67     -74.326958      18.397499      16.493971     0.472   129.462    73.884  -166.360    35.608    76.906   -16.559     90.00     -5.00    1
   68     -74.421516      18.393900      16.493971     0.234   128.714    67.244  -158.682    30.130    70.413   -24.241    100.00     -5.00    1
   69     -72.907417      18.426069      12.000000     0.317    79.488    58.381  -119.439   306.598    42.132   -51.399    -60.00      0.00    0
   70     -73.002022      18.423180      12.000000     0.487    72.493    63.243  -106.895   286.497    31.308   -60.042    -50.00      0.00    0
   71     -73.096626      18.420240      12.000000     0.460   170.393    28.852  -141.576    45.601    72.549   -66.654    -40.00      0.00    1
   72     -73.191223      18.417250      12.000000     0.691   148.446    56.118  -177.754    57.193    88.136   -33.902    -30.00      0.00    1
   73     -73.285820      18.414209      12.000000     1.009   150.435    61.471   175.841   242.424    86.347    28.593    -20.00      0.00    0
   74     -73.380409      18.411131      12.000000     1.346   135.392    34.696   133.712   266.088    65.705    64.433    -10.00      0.00    0
   75     -73.474998      18.408001      12.000000     1.372   121.723    29.583   110.967   277.943    62.549    78.518      0.00      0.00    0
   76     -73.569580      18.404819      12.000000     1.037   135.862    31.157   127.771   273.701    65.860    69.679     10.00      0.00    0
   77     -73.664169      18.401600      12.000000     0.543   162.876    39.539   176.282   255.745    87.634    50.520     20.00      0.00    0
   78     -73.758743      18.398331      12.000000     0.500   222.588    38.259   -69.672    17.331    54.504  -105.320     30.00      0.00    1
   79     -73.853317      18.395010      12.000000     0.596   200.353    46.983   -62.813   343.377    49.430  -116.090     40.00      0.00    1
   80     -73.947891      18.391649      12.000000     0.887   133.409    84.664  -171.298    42.593    81.336    -5.398     50.00      0.00    1
   81     -74.042458      18.388229      12.000000     1.201   133.379    86.857  -171.856    42.929    81.868    -3.175     60.00      0.00    1
   82     -74.137016      18.384781      12.000000     1.234   133.275    89.297  -175.486    43.219    85.486    -0.705     70.00      0.00    1
   83     -74.231583      18.381269      12.000000     0.980   132.146    88.182  -179.029    42.116    89.030    -1.818     80.00      0.00    1
   84     -74.326134      18.377720      12.000000     0.566   130.747    84.433  -177.699    40.524    87.710    -5.571     90.00      0.00    1
   85     -74.420692      18.374121      12.000000     0.238   133.049    64.505  -154.750    31.573    67.354   -27.800    100.00      0.00    1
   86     -72.906761      18.406281       7.506030     0.373    79.441    53.781  -118.420   301.925    44.802   -56.983    -60.00      5.00    0
   87     -73.001350      18.403379       7.506030     0.566    73.666    61.575  -106.515   285.583    32.525   -62.293    -50.00      5.00    0
   88     -73.095947      18.400440       7.506030     0.508   181.925    27.089  -129.615    44.838    69.464   -71.937    -40.00      5.00    1
   89     -73.190529      18.397461       7.506030     0.678   151.029    57.168  -172.367    56.873    83.592   -33.065    -30.00      5.00    1
   90     -73.285118      18.394421       7.506030     1.070   151.692    56.927   174.951   244.452    85.771    33.175    -20.00      5.00    0
   91     -73.379700      18.391340       7.506030     1.333   141.408    37.838   141.841   263.230    67.728    58.585    -10.00      5.00    0
   92     -73.474281      18.388210       7.506030     1.367   125.073    29.963   113.495   278.427    62.740    77.057      0.00      5.00    0
   93     -73.568848      18.385031       7.506030     1.024   143.171    32.273   135.395   272.996    67.979    65.790     10.00      5.00    0
   94     -73.663422      18.381809       7.506030     0.568   171.944    40.017  -174.663    77.851    86.571   -50.106     20.00      5.00    1
   95     -73.757988      18.378540       7.506030     0.599   224.175    40.252   -75.124    24.986    51.354  -102.262     30.00      5.00    0
   96     -73.852547      18.375219       7.506030     0.667   200.373    47.510   -64.737   345.432    48.174  -114.981     40.00      5.00    1
   97     -73.947113      18.371861       7.506030     0.978   133.540    84.523  -170.977    42.672    81.019    -5.545     50.00      5.00    1
   98     -74.041672      18.368450       7.506030     1.332   133.196    86.452  -173.883    42.816    83.895    -3.568     60.00      5.00    1
   99     -74.136223      18.364990       7.506030     1.350   133.571    87.378  -174.760    43.331    84.766    -2.633     70.00      5.00    1
  100     -74.230766      18.361481       7.506030     1.043   133.432    89.983  -179.116    43.432    89.116    -0.020     80.00      5.00    1
  101     -74.325310      18.357929       7.506030     0.624   312.790    88.271  -175.044   222.640    85.046    -1.736     90.00      5.00    0
  102     -74.419853      18.354330       7.506030     0.282   202.775    51.941   -50.037   329.115    52.880  -129.364    100.00      5.00    1
  103     -72.906097      18.386490       3.012060     0.400    80.578    52.983  -116.460   300.158    44.372   -59.420    -60.00     10.00    0
  104     -73.000687      18.383591       3.012060     0.639    74.305    60.217  -106.927   285.800    33.869   -63.037    -50.00     10.00    0
  105     -73.095268      18.380650       3.012060     0.541   192.024    25.374  -122.453    47.162    68.801   -75.721    -40.00     10.00    1
  106     -73.189842      18.377661       3.012060     0.653   152.801    58.737  -167.786    56.391    79.581   -31.848    -30.00     10.00    1
  107     -73.284416      18.374630       3.012060     1.082   152.562    56.356   176.019   244.770    86.687    33.708    -20.00     10.00    0
  108     -73.378990      18.371550       3.012060     1.301   149.217    43.949   155.375   257.480    73.191    48.772    -10.00     10.00    0
  109     -73.473549      18.368420       3.012060     1.331   131.147    30.779   120.250   276.979    63.765    73.298      0.00     10.00    0
  110     -73.568123      18.365240       3.012060     0.988   147.086    32.758   138.562   273.676    69.016    64.249     10.00     10.00    0
  111     -73.662682      18.362020       3.012060     0.573   176.020    43.619  -169.564    78.425    82.821   -46.858     20.00     10.00    1
  112     -73.757233      18.358749       3.012060     0.653   224.547    42.010   -77.281    27.649    49.244  -101.217     30.00     10.00    0
  113     -73.851784      18.355431       3.012060     0.697   199.119    44.787   -67.767   349.180    49.300  -110.585     40.00     10.00    1
  114     -73.946327      18.352070       3.012060     1.034   133.667    83.462  -170.614    42.589    80.676    -6.626     50.00     10.00    1
  115     -74.040878      18.348660       3.012060     1.406   132.994    86.365  -173.854    42.603    83.866    -3.656     60.00     10.00    1
  116     -74.135422      18.345200       3.012060     1.424   133.873    85.317  -175.441    43.500    85.456    -4.698     70.00     10.00    1
  117     -74.229958      18.341690       3.012060     1.088   314.066    89.102   179.562    44.073    89.562     0.898     80.00     10.00    1
  118     -74.324493      18.338140       3.012060     0.644   314.787    79.251  -167.717   222.462    77.936   -10.995     90.00     10.00    1
  119     -74.419022      18.334539       3.012060     0.330   201.229    55.129   -55.161   330.630    47.671  -129.344    100.00     10.00    1
